Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer Name,Segment
OD-2019080,2023-05-29,2023-06-03,North,Office Supplies,Stationery,Stapler,616.25,2,0.1,84.41,Customer 227,Corporate
OD-2019081,2022-10-15,2022-10-17,West,Office Supplies,Stationery,Markers,1573.81,3,0.1,218.84,Customer 44,Corporate
OD-2019082,2021-11-21,2021-11-27,South,Office Supplies,Stationery,Paper Reams,987.31,3,0.15,112.97,Customer 48,Consumer
OD-2019083,2022-10-09,2022-10-12,West,Furniture,Chairs & Tables,Wooden Desk,220.02,2,0.15,64.92,Customer 13,Consumer
OD-2019084,2020-05-16,2020-05-20,North,Office Supplies,Stationery,Notebook Pack,120.0,4,0.1,33.49,Customer 213,Home Office
OD-2019085,2022-03-24,2022-03-26,North,Office Supplies,Stationery,Markers,108.6,5,0.15,11.21,Customer 205,Consumer
OD-2019086,2019-10-30,2019-11-05,East,Office Supplies,Stationery,Notebook Pack,21.02,1,0.15,2.61,Customer 218,Consumer
OD-2019087,2019-12-27,2020-01-03,North,Office Supplies,Stationery,Paper Reams,154.18,3,0.0,49.59,Customer 26,Home Office
OD-2019088,2020-05-25,2020-06-01,West,Furniture,Chairs & Tables,Filing Cabinet,2027.73,4,0.25,509.74,Customer 238,Home Office
OD-2019089,2021-12-23,2021-12-28,North,Office Supplies,Stationery,Stapler,2583.28,3,0.05,338.58,Customer 259,Corporate
OD-2019090,2023-08-29,2023-09-03,North,Technology,Gadgets,Samsung Galaxy S21,81.34,1,0.15,19.88,Customer 231,Corporate
OD-2019091,2023-03-20,2023-03-22,Central,Office Supplies,Stationery,Stapler,193.65,1,0.05,12.38,Customer 249,Home Office
OD-2019092,2020-05-04,2020-05-07,South,Technology,Gadgets,iPhone 13,219.48,2,0.05,54.58,Customer 121,Corporate
OD-2019093,2020-11-18,2020-11-21,West,Office Supplies,Stationery,Notebook Pack,2204.6,4,0.1,159.4,Customer 78,Consumer
OD-2019094,2021-02-23,2021-03-01,East,Furniture,Chairs & Tables,Wooden Desk,1446.83,5,0.15,322.05,Customer 213,Corporate
OD-2019095,2020-11-08,2020-11-13,East,Technology,Gadgets,Wireless Mouse,498.32,5,0.1,138.56,Customer 106,Corporate
OD-2019096,2021-03-08,2021-03-15,Central,Office Supplies,Stationery,Notebook Pack,91.16,4,0.3,17.61,Customer 195,Corporate
OD-2019097,2019-01-13,2019-01-16,North,Technology,Gadgets,Wireless Mouse,221.09,4,0.1,35.27,Customer 276,Home Office
OD-2019098,2023-02-13,2023-02-18,North,Office Supplies,Stationery,Pen Set,97.22,2,0.05,4.93,Customer 113,Corporate
OD-2019099,2021-06-11,2021-06-15,South,Furniture,Chairs & Tables,Filing Cabinet,3514.22,4,0.15,886.68,Customer 208,Home Office
OD-2019100,2019-12-05,2019-12-12,Central,Technology,Gadgets,Samsung Galaxy S21,53.33,1,0.25,6.5,Customer 274,Consumer
OD-2019101,2021-03-17,2021-03-22,East,Office Supplies,Stationery,Notebook Pack,561.86,1,0.0,190.45,Customer 220,Consumer
OD-2019102,2023-11-11,2023-11-15,South,Furniture,Chairs & Tables,Office Chair,383.47,4,0.2,99.93,Customer 195,Corporate
OD-2019103,2020-03-09,2020-03-13,North,Technology,Gadgets,Laptop Pro 15,217.82,4,0.0,21.75,Customer 143,Corporate
OD-2019104,2020-05-31,2020-06-07,East,Furniture,Chairs & Tables,Filing Cabinet,21.51,1,0.1,6.2,Customer 277,Consumer
OD-2019105,2020-12-17,2020-12-19,East,Office Supplies,Stationery,Notebook Pack,1207.43,1,0.25,287.14,Customer 16,Consumer
OD-2019106,2020-02-13,2020-02-20,West,Furniture,Chairs & Tables,Office Table,1288.83,4,0.0,137.18,Customer 123,Consumer
OD-2019107,2021-08-27,2021-09-02,West,Furniture,Chairs & Tables,Office Table,612.4,2,0.1,40.41,Customer 239,Home Office
OD-2019108,2020-06-08,2020-06-15,Central,Technology,Gadgets,Samsung Galaxy S21,86.04,1,0.1,16.33,Customer 59,Consumer
OD-2019109,2020-09-29,2020-09-30,South,Office Supplies,Stationery,Notebook Pack,111.28,1,0.1,9.89,Customer 295,Home Office
OD-2019110,2021-02-07,2021-02-11,East,Office Supplies,Stationery,Pen Set,512.98,3,0.1,108.04,Customer 125,Consumer
OD-2019111,2022-11-28,2022-12-05,East,Technology,Gadgets,Bluetooth Headset,1818.47,2,0.2,92.47,Customer 290,Consumer
OD-2019112,2020-12-12,2020-12-17,East,Technology,Gadgets,Laptop Pro 15,166.82,1,0.3,11.11,Customer 260,Home Office
OD-2019113,2020-11-29,2020-11-30,East,Technology,Gadgets,Wireless Mouse,4104.71,5,0.25,931.67,Customer 222,Corporate
OD-2019114,2022-07-25,2022-08-01,North,Technology,Gadgets,Samsung Galaxy S21,104.37,5,0.05,13.09,Customer 91,Home Office
OD-2019115,2021-12-04,2021-12-10,Central,Technology,Gadgets,Bluetooth Headset,84.55,4,0.15,23.28,Customer 248,Corporate
OD-2019116,2021-06-11,2021-06-18,South,Office Supplies,Stationery,Paper Reams,569.48,5,0.15,60.12,Customer 166,Consumer
OD-2019117,2023-08-29,2023-08-30,West,Technology,Gadgets,Wireless Mouse,22.82,1,0.1,2.44,Customer 238,Home Office
OD-2019118,2022-06-03,2022-06-09,East,Technology,Gadgets,Laptop Pro 15,322.09,1,0.05,25.72,Customer 254,Corporate
OD-2019119,2020-01-08,2020-01-12,South,Furniture,Chairs & Tables,Bookcase,1686.5,2,0.15,295.38,Customer 175,Corporate
OD-2019120,2023-12-08,2023-12-13,Central,Office Supplies,Stationery,Stapler,84.83,4,0.1,23.9,Customer 6,Home Office
OD-2019121,2020-01-27,2020-01-28,North,Furniture,Chairs & Tables,Filing Cabinet,19.54,1,0.0,5.4,Customer 285,Consumer
OD-2019122,2022-11-15,2022-11-19,North,Office Supplies,Stationery,Markers,166.65,5,0.2,31.35,Customer 9,Consumer
OD-2019123,2020-08-25,2020-08-27,South,Technology,Gadgets,Samsung Galaxy S21,321.49,2,0.1,62.63,Customer 298,Corporate
OD-2019124,2021-08-27,2021-09-01,North,Office Supplies,Stationery,Stapler,91.77,3,0.05,24.86,Customer 282,Corporate
OD-2019125,2020-12-21,2020-12-27,South,Technology,Gadgets,Laptop Pro 15,843.78,4,0.1,219.42,Customer 129,Consumer
OD-2019126,2019-09-05,2019-09-11,East,Furniture,Chairs & Tables,Bookcase,671.05,2,0.15,39.85,Customer 275,Home Office
OD-2019127,2020-01-15,2020-01-17,South,Furniture,Chairs & Tables,Filing Cabinet,161.12,5,0.0,18.16,Customer 269,Home Office
OD-2019128,2020-08-02,2020-08-03,West,Furniture,Chairs & Tables,Bookcase,3474.62,3,0.0,307.2,Customer 185,Consumer
OD-2019129,2020-09-11,2020-09-12,West,Office Supplies,Stationery,Paper Reams,490.29,3,0.0,126.96,Customer 141,Consumer
OD-2019130,2019-04-22,2019-04-27,North,Technology,Gadgets,Samsung Galaxy S21,56.24,1,0.05,18.27,Customer 53,Consumer
OD-2019131,2022-03-21,2022-03-24,North,Technology,Gadgets,Wireless Mouse,3979.08,5,0.15,519.25,Customer 175,Consumer
OD-2019132,2019-04-16,2019-04-19,East,Technology,Gadgets,iPhone 13,290.32,2,0.0,54.65,Customer 206,Corporate
OD-2019133,2019-06-01,2019-06-06,West,Office Supplies,Stationery,Notebook Pack,58.54,2,0.0,8.57,Customer 77,Home Office
OD-2019134,2020-09-14,2020-09-15,Central,Furniture,Chairs & Tables,Office Chair,1046.23,2,0.1,191.61,Customer 214,Home Office
OD-2019135,2022-05-05,2022-05-12,Central,Office Supplies,Stationery,Pen Set,60.32,3,0.15,14.07,Customer 195,Corporate
OD-2019136,2021-06-25,2021-06-28,South,Office Supplies,Stationery,Markers,371.95,5,0.05,69.03,Customer 292,Home Office
OD-2019137,2019-05-04,2019-05-09,West,Office Supplies,Stationery,Notebook Pack,422.5,2,0.1,26.12,Customer 109,Corporate
OD-2019138,2022-09-14,2022-09-15,West,Furniture,Chairs & Tables,Wooden Desk,878.96,3,0.1,239.96,Customer 283,Consumer
OD-2019139,2019-11-17,2019-11-18,Central,Technology,Gadgets,Wireless Mouse,93.55,3,0.05,10.91,Customer 241,Corporate
OD-2019140,2019-03-08,2019-03-10,North,Technology,Gadgets,Laptop Pro 15,205.09,1,0.0,30.07,Customer 37,Home Office
OD-2019141,2020-04-23,2020-04-26,West,Office Supplies,Stationery,Paper Reams,1128.11,2,0.1,257.61,Customer 218,Consumer
OD-2019142,2022-01-20,2022-01-22,South,Office Supplies,Stationery,Pen Set,1574.53,3,0.0,332.43,Customer 73,Consumer
OD-2019143,2019-05-03,2019-05-05,Central,Technology,Gadgets,Bluetooth Headset,640.38,2,0.1,94.31,Customer 148,Corporate
OD-2019144,2019-09-12,2019-09-16,North,Office Supplies,Stationery,Stapler,847.45,5,0.1,94.05,Customer 140,Home Office
OD-2019145,2022-01-10,2022-01-14,Central,Technology,Gadgets,iPhone 13,482.02,3,0.0,38.82,Customer 21,Corporate
OD-2019146,2023-02-13,2023-02-16,East,Office Supplies,Stationery,Stapler,4644.37,4,0.15,263.3,Customer 47,Consumer
OD-2019147,2022-10-12,2022-10-19,East,Office Supplies,Stationery,Paper Reams,192.07,1,0.0,49.76,Customer 138,Home Office
OD-2019148,2019-03-24,2019-03-31,Central,Furniture,Chairs & Tables,Filing Cabinet,171.58,2,0.2,40.51,Customer 227,Corporate
OD-2019149,2020-01-07,2020-01-12,East,Technology,Gadgets,Wireless Mouse,328.37,1,0.15,74.12,Customer 241,Corporate
OD-2019150,2021-04-16,2021-04-19,West,Technology,Gadgets,iPhone 13,940.79,3,0.15,89.18,Customer 169,Corporate
OD-2019151,2022-11-21,2022-11-25,Central,Technology,Gadgets,Wireless Mouse,327.66,2,0.0,88.75,Customer 19,Corporate
OD-2019152,2019-06-30,2019-07-03,East,Technology,Gadgets,Laptop Pro 15,85.77,4,0.0,19.24,Customer 207,Home Office
OD-2019153,2023-08-17,2023-08-18,North,Office Supplies,Stationery,Paper Reams,228.18,3,0.1,33.02,Customer 212,Consumer
OD-2019154,2020-01-20,2020-01-25,North,Technology,Gadgets,Bluetooth Headset,192.53,2,0.3,19.77,Customer 227,Consumer
OD-2019155,2020-02-21,2020-02-24,South,Office Supplies,Stationery,Pen Set,150.14,2,0.1,37.57,Customer 225,Home Office
OD-2019156,2021-09-19,2021-09-20,West,Furniture,Chairs & Tables,Office Table,964.1,3,0.15,67.21,Customer 82,Corporate
OD-2019157,2022-02-02,2022-02-03,East,Office Supplies,Stationery,Markers,146.23,5,0.15,41.2,Customer 116,Consumer
OD-2019158,2021-08-03,2021-08-04,North,Office Supplies,Stationery,Pen Set,192.66,4,0.15,36.41,Customer 150,Home Office
OD-2019159,2022-12-15,2022-12-18,North,Technology,Gadgets,Wireless Mouse,1673.38,5,0.15,412.29,Customer 125,Corporate
OD-2019160,2022-02-02,2022-02-04,Central,Technology,Gadgets,Samsung Galaxy S21,296.18,3,0.0,71.12,Customer 261,Home Office
OD-2019161,2023-12-06,2023-12-08,North,Furniture,Chairs & Tables,Bookcase,2250.88,4,0.05,630.77,Customer 175,Home Office
OD-2019162,2020-07-01,2020-07-08,South,Furniture,Chairs & Tables,Bookcase,476.08,3,0.05,100.97,Customer 297,Home Office
OD-2019163,2021-09-29,2021-10-06,Central,Furniture,Chairs & Tables,Filing Cabinet,20.57,1,0.05,1.37,Customer 248,Corporate
OD-2019164,2020-11-11,2020-11-16,North,Office Supplies,Stationery,Markers,584.03,3,0.25,104.39,Customer 165,Consumer
OD-2019165,2022-11-29,2022-12-01,West,Office Supplies,Stationery,Markers,166.32,2,0.1,31.44,Customer 211,Consumer
OD-2019166,2020-10-13,2020-10-19,North,Technology,Gadgets,Wireless Mouse,258.65,3,0.15,57.62,Customer 78,Corporate
OD-2019167,2019-03-17,2019-03-19,South,Office Supplies,Stationery,Paper Reams,587.18,3,0.0,155.14,Customer 52,Corporate
OD-2019168,2019-07-24,2019-07-29,West,Technology,Gadgets,iPhone 13,6605.56,5,0.0,1393.41,Customer 210,Home Office
OD-2019169,2019-11-13,2019-11-14,South,Technology,Gadgets,Laptop Pro 15,1284.95,4,0.05,258.74,Customer 204,Home Office
OD-2019170,2019-06-14,2019-06-21,North,Technology,Gadgets,Bluetooth Headset,410.42,5,0.1,89.52,Customer 163,Home Office
OD-2019171,2023-01-11,2023-01-18,East,Technology,Gadgets,Bluetooth Headset,238.17,3,0.0,36.61,Customer 36,Consumer
OD-2019172,2022-07-16,2022-07-22,East,Technology,Gadgets,Samsung Galaxy S21,2444.41,3,0.0,432.85,Customer 223,Consumer
OD-2019173,2023-04-07,2023-04-13,North,Office Supplies,Stationery,Notebook Pack,2353.61,2,0.1,427.39,Customer 86,Home Office
OD-2019174,2020-09-05,2020-09-06,East,Furniture,Chairs & Tables,Bookcase,19.07,1,0.2,5.03,Customer 151,Corporate
OD-2019175,2021-02-06,2021-02-10,Central,Furniture,Chairs & Tables,Wooden Desk,332.41,4,0.0,81.58,Customer 211,Home Office
OD-2019176,2022-10-28,2022-11-04,West,Furniture,Chairs & Tables,Wooden Desk,771.03,1,0.0,62.66,Customer 41,Home Office
OD-2019177,2023-11-19,2023-11-23,North,Office Supplies,Stationery,Pen Set,169.82,1,0.0,20.51,Customer 299,Consumer
OD-2019178,2020-04-20,2020-04-24,North,Office Supplies,Stationery,Stapler,146.24,2,0.2,36.38,Customer 131,Home Office
OD-2019179,2019-01-20,2019-01-27,Central,Technology,Gadgets,Laptop Pro 15,964.42,3,0.05,250.37,Customer 81,Consumer
OD-2019180,2021-06-23,2021-06-26,North,Office Supplies,Stationery,Stapler,166.13,2,0.1,12.6,Customer 129,Corporate
OD-2019181,2023-09-28,2023-10-01,North,Furniture,Chairs & Tables,Filing Cabinet,2245.41,4,0.2,340.78,Customer 55,Consumer
OD-2019182,2021-02-20,2021-02-25,South,Technology,Gadgets,Bluetooth Headset,102.03,3,0.1,5.5,Customer 152,Consumer
OD-2019183,2023-08-27,2023-09-02,East,Technology,Gadgets,Laptop Pro 15,149.95,3,0.1,13.45,Customer 290,Home Office
OD-2019184,2023-05-13,2023-05-19,North,Furniture,Chairs & Tables,Office Table,1518.44,5,0.15,172.02,Customer 147,Consumer
OD-2019185,2022-05-28,2022-06-04,West,Technology,Gadgets,Samsung Galaxy S21,64.96,2,0.0,21.98,Customer 129,Home Office
OD-2019186,2023-03-28,2023-04-03,East,Office Supplies,Stationery,Pen Set,77.47,1,0.0,27.04,Customer 21,Corporate
OD-2019187,2023-06-04,2023-06-08,South,Furniture,Chairs & Tables,Office Table,213.82,1,0.0,58.8,Customer 68,Consumer
OD-2019188,2020-08-27,2020-08-30,West,Office Supplies,Stationery,Markers,1016.65,3,0.0,108.99,Customer 103,Consumer
OD-2019189,2023-05-30,2023-06-04,Central,Technology,Gadgets,Bluetooth Headset,1601.24,5,0.0,423.08,Customer 140,Consumer
OD-2019190,2020-06-10,2020-06-17,South,Technology,Gadgets,Laptop Pro 15,63.41,2,0.05,11.99,Customer 59,Corporate
OD-2019191,2019-06-04,2019-06-06,Central,Furniture,Chairs & Tables,Filing Cabinet,221.94,3,0.2,59.27,Customer 188,Consumer
OD-2019192,2023-06-08,2023-06-12,Central,Furniture,Chairs & Tables,Bookcase,1807.18,2,0.05,498.26,Customer 64,Corporate
OD-2019193,2021-01-24,2021-01-30,Central,Office Supplies,Stationery,Stapler,134.81,4,0.05,27.6,Customer 196,Home Office
OD-2019194,2021-01-30,2021-01-31,North,Office Supplies,Stationery,Pen Set,890.3,3,0.05,193.27,Customer 13,Home Office
OD-2019195,2023-12-16,2023-12-21,West,Technology,Gadgets,Bluetooth Headset,98.57,1,0.1,10.77,Customer 33,Home Office
OD-2019196,2023-08-15,2023-08-19,North,Office Supplies,Stationery,Stapler,99.86,2,0.1,27.57,Customer 60,Consumer
OD-2019197,2019-04-03,2019-04-04,East,Technology,Gadgets,Wireless Mouse,256.25,3,0.0,44.05,Customer 50,Consumer
OD-2019198,2023-12-23,2023-12-28,North,Furniture,Chairs & Tables,Filing Cabinet,430.66,2,0.15,111.44,Customer 190,Home Office
OD-2019199,2023-03-02,2023-03-08,Central,Office Supplies,Stationery,Markers,266.65,5,0.05,80.5,Customer 80,Corporate
OD-2019200,2022-09-03,2022-09-04,North,Technology,Gadgets,Bluetooth Headset,381.44,5,0.15,51.52,Customer 144,Consumer
OD-2019201,2022-11-14,2022-11-17,North,Furniture,Chairs & Tables,Filing Cabinet,322.45,4,0.05,66.05,Customer 121,Corporate
OD-2019202,2019-07-23,2019-07-29,South,Technology,Gadgets,Bluetooth Headset,201.78,2,0.25,42.23,Customer 32,Corporate
